timeseries,start_date,use_temp_df,hierarchical,uniform_constant,tune_method,tune_loss_factor,shrinkage_strength,intercept_sd,beta_sd,scaler,mse,rmse,mae,mape
Wine cellar [kW],2013-01-01,with_temp_df,partial,False,parametric,0,1,1.0,1.5,minmax,0.0008041759690685609,0.02835799656302541,0.017636916170978865,0.3128361859520957
Boston,2013-01-01,with_temp_df,partial,False,parametric,0,10,0.1,0.5,maxabs,10.956633176485777,3.310080539274804,2.5844727690666724,0.4101843630609481
Fridge [kW],2013-01-01,with_temp_df,partial,False,parametric,0,10,0.1,0.5,maxabs,0.002082020928292108,0.04562916751697436,0.04227335740367612,0.6627476287415667
Furnace 1 [kW],2013-01-01,with_temp_df,partial,False,parametric,0,10,0.1,0.5,maxabs,0.13855077429464155,0.37222409150220453,0.34639882700593955,10.429051909011292
Furnace 2 [kW],2013-01-01,with_temp_df,partial,False,parametric,0,10,0.1,0.5,maxabs,0.11189421087786414,0.33450592054231887,0.3126052469180731,3.80413257388599
Wine cellar [kW],2013-01-01,with_temp_df,partial,False,parametric,0,10,0.1,0.5,maxabs,0.000574389203382931,0.02396641824267721,0.017533946995280186,0.43745540504812924
Boston,2013-01-01,with_temp_df,partial,False,parametric,0,10,0.1,0.5,minmax,10.88978051489461,3.2999667445134366,2.5758616980772575,0.41484940485824523
Fridge [kW],2013-01-01,with_temp_df,partial,False,parametric,0,10,0.1,0.5,minmax,0.00021449553505117748,0.014645666084244086,0.012428818160183343,0.2055950011360375
Furnace 1 [kW],2013-01-01,with_temp_df,partial,False,parametric,0,10,0.1,0.5,minmax,0.07575051733766724,0.2752281187263889,0.2568527949514375,7.794284970720014
Furnace 2 [kW],2013-01-01,with_temp_df,partial,False,parametric,0,10,0.1,0.5,minmax,0.052342372153805064,0.22878455401054737,0.2139398061228512,2.632148358173566
Wine cellar [kW],2013-01-01,with_temp_df,partial,False,parametric,0,10,0.1,0.5,minmax,0.0008046062017331842,0.028365581286714084,0.017623407841888452,0.31218798313832546
Boston,2013-01-01,with_temp_df,partial,False,parametric,0,10,0.1,1.0,maxabs,10.956612555085549,3.310077424333991,2.5844637718575103,0.41018582574982665
Fridge [kW],2013-01-01,with_temp_df,partial,False,parametric,0,10,0.1,1.0,maxabs,0.002083345696674728,0.04564368189218227,0.04228459810719552,0.6628696211718584
Furnace 1 [kW],2013-01-01,with_temp_df,partial,False,parametric,0,10,0.1,1.0,maxabs,0.13861765501533016,0.3723139199859846,0.34644260490030887,10.429912182500972
Furnace 2 [kW],2013-01-01,with_temp_df,partial,False,parametric,0,10,0.1,1.0,maxabs,0.1119753364584027,0.33462716037166307,0.31271065745759025,3.8052017131937976
Wine cellar [kW],2013-01-01,with_temp_df,partial,False,parametric,0,10,0.1,1.0,maxabs,0.0005745316699919577,0.02396939027159343,0.017530103198032037,0.4373327507088585
Boston,2013-01-01,with_temp_df,partial,False,parametric,0,10,0.1,1.0,minmax,10.890388472582107,3.300058858957232,2.5759344297781155,0.4148552958096029
Fridge [kW],2013-01-01,with_temp_df,partial,False,parametric,0,10,0.1,1.0,minmax,0.00021478546196425122,0.014655560786413164,0.012431570131641504,0.20560255713583658
Furnace 1 [kW],2013-01-01,with_temp_df,partial,False,parametric,0,10,0.1,1.0,minmax,0.0757760161298343,0.27527443784309924,0.25683748888722463,7.794294986200059
Furnace 2 [kW],2013-01-01,with_temp_df,partial,False,parametric,0,10,0.1,1.0,minmax,0.052374267050184754,0.228854248486203,0.21396756271422915,2.632385224235293
Wine cellar [kW],2013-01-01,with_temp_df,partial,False,parametric,0,10,0.1,1.0,minmax,0.0008047090307534419,0.028367393795578788,0.017630753599450582,0.3123681671267313
Boston,2013-01-01,with_temp_df,partial,False,parametric,0,10,0.1,1.5,maxabs,10.957672650999546,3.310237552049633,2.5846011614936044,0.4102095348552602
Fridge [kW],2013-01-01,with_temp_df,partial,False,parametric,0,10,0.1,1.5,maxabs,0.0020828601712980185,0.04563836293402754,0.04227790318924785,0.6627553052618467
Furnace 1 [kW],2013-01-01,with_temp_df,partial,False,parametric,0,10,0.1,1.5,maxabs,0.1385943109209723,0.3722825686504437,0.34639329627953935,10.428620279711236
Furnace 2 [kW],2013-01-01,with_temp_df,partial,False,parametric,0,10,0.1,1.5,maxabs,0.1119278168869142,0.3345561490795143,0.31262510264867216,3.804189077053528
Wine cellar [kW],2013-01-01,with_temp_df,partial,False,parametric,0,10,0.1,1.5,maxabs,0.0005745564066126081,0.023969906270417667,0.017528813336931674,0.43726860956487795
Boston,2013-01-01,with_temp_df,partial,False,parametric,0,10,0.1,1.5,minmax,10.890630321781122,3.3000955019182583,2.5759546561350004,0.41486809113503803
Fridge [kW],2013-01-01,with_temp_df,partial,False,parametric,0,10,0.1,1.5,minmax,0.00021502084459100774,0.014663589076041641,0.012436477247060993,0.2056718261902864
Furnace 1 [kW],2013-01-01,with_temp_df,partial,False,parametric,0,10,0.1,1.5,minmax,0.0758227740166282,0.27535935432926223,0.2569022729864344,7.7962469355709585
